MATCH_ID,DATE,TIME,STAGE,COMPLETED,WINNER_TEAM_ID,HOME_TEAM_ID,AWAY_TEAM_ID,HOME_GOALS,AWAY_GOALS,HOME_YELLOW_CARDS,AWAY_YELLOW_CARDS,HOME_OG,AWAY_OG,HOME_RED_CARDS,AWAY_RED_CARDS,NOTES
A1,11/06/2026,20:00,GROUP,Y,MEX,MEX,ZAF,2,0,1,2,,,1;C.Montes:90+2,2;Y.Sithole:49;T.Zwane:84,Group A MD1: Mexico vs South Africa (Mexico City)
A2,12/06/2026,03:00,GROUP,Y,KOR,KOR,CZE,2,1,1,0,,,,,Group A MD1: South Korea vs Czechia (Guadalajara)
B1,12/06/2026,20:00,GROUP,Y,,CAN,BIH,1,1,2,3,,,,,Group B MD1: Canada vs Bosnia and Herzegovina (Toronto)
D1,13/06/2026,02:00,GROUP,Y,USA,USA,PRY,4,1,1,5,,1;D.Bobadilla:7,,,Group D MD1: USA vs Paraguay (Los Angeles)
B2,13/06/2026,20:00,GROUP,Y,,QAT,CHE,1,1,2,1,,1;M.Muheim:90+4,,,Group B MD1: Qatar vs Switzerland (San Francisco)
C1,13/06/2026,23:00,GROUP,Y,,BRA,MAR,1,1,2,0,,,,,Group C MD1: Brazil vs Morocco (New York/NJ)
C2,14/06/2026,02:00,GROUP,Y,SCO,HTI,SCO,0,1,1,3,,,,,Group C MD1: Haiti vs Scotland (Boston)
D2,14/06/2026,05:00,GROUP,Y,AUS,AUS,TUR,2,0,0,1,,,,,Group D MD1: Australia vs Türkiye (Vancouver)
E1,14/06/2026,18:00,GROUP,Y,DEU,DEU,CUW,7,1,0,0,,,,,Group E MD1: Germany vs Curaçao (Houston)
F1,14/06/2026,21:00,GROUP,Y,,NLD,JPN,2,2,3,0,,,,,Group F MD1: Netherlands vs Japan (Dallas)
E2,15/06/2026,00:00,GROUP,Y,CIV,CIV,ECU,1,0,3,1,,,,,Group E MD1: Ivory Coast vs Ecuador (Philadelphia)
F2,15/06/2026,03:00,GROUP,Y,SWE,SWE,TUN,5,1,0,1,,,,,Group F MD1: Sweden vs Tunisia (Miami)
H1,15/06/2026,18:00,GROUP,Y,,ESP,CPV,0,0,1,1,,,,,Group H MD1: Spain vs Cape Verde (Atlanta)
G1,15/06/2026,23:00,GROUP,Y,,BEL,EGY,1,1,2,2,,1;M.Hany:66,,,Group G MD1: Belgium vs Egypt (Seattle)
H2,16/06/2026,00:00,GROUP,Y,,SAU,URY,1,1,1,0,,,,,Group H MD1: Saudi Arabia vs URYguay (Miami)
G2,16/06/2026,05:00,GROUP,Y,,IRN,NZL,2,2,1,0,,,,,Group G MD1: Iran vs New Zealand (Los Angeles)
I1,16/06/2026,20:00,GROUP,Y,FRA,FRA,SEN,3,1,0,0,,,,,Group I MD1: France vs Senegal (New York/NJ)
I2,16/06/2026,23:00,GROUP,Y,NOR,IRQ,NOR,1,4,1,0,1;A.Hussein:90+6,,,,Group I MD1: Iraq vs Norway (Boston)
J1,17/06/2026,02:00,GROUP,Y,ARG,ARG,DZA,3,0,0,0,,,,,Group J MD1: Argentina vs DZAeria (Kansas City)
J2,17/06/2026,05:00,GROUP,Y,AUT,AUT,JOR,3,1,1,0,,1;Y.Al Arab:66,,,Group J MD1: Austria vs Jordan (San Francisco)
K1,17/06/2026,18:00,GROUP,Y,,PRT,COD,1,1,3,1,,,,,Group K MD1: Portugal vs DR Congo (Houston)
L1,17/06/2026,21:00,GROUP,Y,ENG,ENG,HRV,4,2,0,0,,,,,Group L MD1: England vs Croatia (Dallas)
L2,18/06/2026,00:00,GROUP,Y,GHA,GHA,PAN,1,0,1,2,,,,,Group L MD1: Ghana vs Panama (Toronto)
K2,18/06/2026,03:00,GROUP,Y,COL,UZB,COL,1,3,1,1,,,,,Group K MD1: Uzbekistan vs Colombia (Mexico City)
A3,18/06/2026,17:00,GROUP,Y,,CZE,ZAF,1,1,1,2,,,,,Group A MD2: Czechia vs South Africa (Atlanta)
B3,18/06/2026,20:00,GROUP,Y,CHE,CHE,BIH,4,1,1,2,,,,1;T.Muharemović:80,Group B MD2: Switzerland vs Bosnia and Herzegovina (Los Angeles)
B4,18/06/2026,23:00,GROUP,Y,CAN,CAN,QAT,6,0,1,1,,1;M.Manai:75,,2;H.El Amin:33;A.Madibo:53,Group B MD2: Canada vs Qatar (Vancouver)
A4,19/06/2026,02:00,GROUP,Y,MEX,MEX,KOR,1,0,0,2,,,,,Group A MD2: Mexico vs South Korea (Guadalajara)
D3,19/06/2026,20:00,GROUP,Y,USA,USA,AUS,2,0,3,4,,1;C.Burgess:11,,,Group D MD2: USA vs Australia (Seattle)
C3,19/06/2026,23:00,GROUP,Y,MAR,SCO,MAR,0,1,1,1,,,,,Group C MD2: Scotland vs Morocco (Boston)
C4,20/06/2026,02:00,GROUP,Y,BRA,BRA,HTI,3,0,1,3,,,,,Group C MD2: Brazil vs Haiti (Philadelphia)
D4,20/06/2026,05:00,GROUP,Y,PRY,TUR,PRY,0,1,1,1,,,,1;M.Almirón:45+3,Group D MD2: Türkiye vs Paraguay (San Francisco)
E3,20/06/2026,20:00,GROUP,Y,DEU,DEU,CIV,2,1,0,0,,,,,Group E MD2: Germany vs Ivory Coast (Toronto)
F3,20/06/2026,21:00,GROUP,Y,NLD,NLD,SWE,5,1,0,3,,,,,Group F MD2: Netherlands vs Sweden (Houston)
E4,21/06/2026,02:00,GROUP,Y,,ECU,CUW,0,0,1,5,,,,,Group E MD2: Ecuador vs Curaçao (Kansas City)
F4,21/06/2026,05:00,GROUP,Y,JPN,TUN,JPN,0,4,0,0,,,,,Group F MD2: Tunisia vs Japan (Guadalajara)
H3,21/06/2026,18:00,GROUP,Y,ESP,ESP,SAU,4,0,0,2,,1;H.Al Tambakti:49,,,Group H MD2: Spain vs Saudi Arabia (Atlanta)
G3,21/06/2026,23:00,GROUP,Y,,BEL,IRN,0,0,1,1,,,1;N.Ngoy:66,,Group G MD2: Belgium vs Iran (Los Angeles)
H4,22/06/2026,00:00,GROUP,Y,,URY,CPV,2,2,2,2,,,,,Group H MD2: URYguay vs Cape Verde (Miami)
G4,22/06/2026,05:00,GROUP,Y,EGY,EGY,NZL,3,1,1,2,,,,,Group G MD2: Egypt vs New Zealand (Seattle)
I3,22/06/2026,20:00,GROUP,Y,FRA,FRA,IRQ,3,0,0,1,,,,,Group I MD2: France vs Iraq (Philadelphia)
I4,23/06/2026,01:00,GROUP,Y,NOR,NOR,SEN,3,2,0,0,,,,,Group I MD2: Norway vs Senegal (New York/NJ)
J3,22/06/2026,23:00,GROUP,Y,ARG,ARG,AUT,2,0,2,2,,,,,Group J MD2: Argentina vs Austria (Kansas City)
J4,23/06/2026,05:00,GROUP,Y,DZA,JOR,DZA,1,2,1,1,,,,,Group J MD2: Jordan vs DZAeria (San Francisco)
K3,23/06/2026,18:00,GROUP,N,,PRT,UZB,,,,,,,,,Group K MD2: Portugal vs Uzbekistan (Houston)
L3,23/06/2026,21:00,GROUP,N,,ENG,GHA,,,,,,,,,Group L MD2: England vs Ghana (Boston)
L4,24/06/2026,00:00,GROUP,N,,PAN,HRV,,,,,,,,,Group L MD2: Panama vs Croatia (Toronto)
K4,24/06/2026,03:00,GROUP,N,,COL,COD,,,,,,,,,Group K MD2: Colombia vs DR Congo (Mexico City)
B5,24/06/2026,20:00,GROUP,N,,CHE,CAN,,,,,,,,,Group B MD3: Switzerland vs Canada (Vancouver)
B6,24/06/2026,20:00,GROUP,N,,BIH,QAT,,,,,,,,,Group B MD3: Bosnia and Herzegovina vs Qatar (Seattle)
C5,24/06/2026,23:00,GROUP,N,,SCO,BRA,,,,,,,,,Group C MD3: Scotland vs Brazil (Miami)
C6,24/06/2026,23:00,GROUP,N,,MAR,HTI,,,,,,,,,Group C MD3: Morocco vs Haiti (Atlanta)
A5,25/06/2026,02:00,GROUP,N,,CZE,MEX,,,,,,,,,Group A MD3: Czechia vs Mexico (Mexico City)
A6,25/06/2026,02:00,GROUP,N,,ZAF,KOR,,,,,,,,,Group A MD3: South Africa vs South Korea (Monterrey)
D5,25/06/2026,20:00,GROUP,N,,TUR,USA,,,,,,,,,Group D MD3: Türkiye vs USA (Los Angeles)
D6,25/06/2026,20:00,GROUP,N,,PRY,AUS,,,,,,,,,Group D MD3: Paraguay vs Australia (San Francisco)
E5,25/06/2026,23:00,GROUP,N,,DEU,ECU,,,,,,,,,Group E MD3: Germany vs Ecuador (Atlanta)
E6,25/06/2026,23:00,GROUP,N,,CUW,CIV,,,,,,,,,Group E MD3: Curaçao vs Ivory Coast (Philadelphia)
F5,26/06/2026,02:00,GROUP,N,,NLD,TUN,,,,,,,,,Group F MD3: Netherlands vs Tunisia (Houston)
F6,26/06/2026,02:00,GROUP,N,,JPN,SWE,,,,,,,,,Group F MD3: Japan vs Sweden (Guadalajara)
G5,26/06/2026,23:00,GROUP,N,,BEL,NZL,,,,,,,,,Group G MD3: Belgium vs New Zealand (Los Angeles)
G6,26/06/2026,23:00,GROUP,N,,IRN,EGY,,,,,,,,,Group G MD3: Iran vs Egypt (Seattle)
H5,26/06/2026,20:00,GROUP,N,,ESP,URY,,,,,,,,,Group H MD3: Spain vs URYguay (Atlanta)
H6,26/06/2026,20:00,GROUP,N,,CPV,SAU,,,,,,,,,Group H MD3: Cape Verde vs Saudi Arabia (Miami)
I5,27/06/2026,02:00,GROUP,N,,FRA,NOR,,,,,,,,,Group I MD3: France vs Norway (Boston)
I6,27/06/2026,02:00,GROUP,N,,SEN,IRQ,,,,,,,,,Group I MD3: Senegal vs Iraq (Philadelphia)
J5,26/06/2026,23:00,GROUP,N,,ARG,JOR,,,,,,,,,Group J MD3: Argentina vs Jordan (Kansas City)
J6,26/06/2026,23:00,GROUP,N,,DZA,AUT,,,,,,,,,Group J MD3: DZAeria vs Austria (San Francisco)
K5,27/06/2026,20:00,GROUP,N,,PRT,COL,,,,,,,,,Group K MD3: Portugal vs Colombia (Houston)
K6,27/06/2026,20:00,GROUP,N,,COD,UZB,,,,,,,,,Group K MD3: DR Congo vs Uzbekistan (Mexico City)
L5,27/06/2026,23:00,GROUP,N,,ENG,PAN,,,,,,,,,Group L MD3: England vs Panama (New York/NJ)
L6,27/06/2026,23:00,GROUP,N,,HRV,GHA,,,,,,,,,Group L MD3: Croatia vs Ghana (Toronto)
R32_M73,28/06/2026,20:00,KO,N,,,,,,,,,,,,Runner-up Group A vs Runner-up Group B (Los Angeles)
R32_M76,28/06/2026,23:00,KO,N,,,,,,,,,,,,Winner Group C vs Runner-up Group F (Houston)
R32_M74,29/06/2026,02:00,KO,N,,,,,,,,,,,,Winner Group E vs Best 3rd (A/B/C/D/F) (Boston)
R32_M75,29/06/2026,05:00,KO,N,,,,,,,,,,,,Winner Group F vs Runner-up Group C (Guadalajara)
R32_M78,29/06/2026,20:00,KO,N,,,,,,,,,,,,Runner-up Group E vs Runner-up Group I (Dallas)
R32_M77,29/06/2026,23:00,KO,N,,,,,,,,,,,,Winner Group I vs Best 3rd (C/D/F/G/H) (New York/NJ)
R32_M79,30/06/2026,02:00,KO,N,,,,,,,,,,,,Winner Group A vs Best 3rd (C/E/F/H/I) (Mexico City)
R32_M80,30/06/2026,22:00,KO,N,,,,,,,,,,,,Winner Group L vs Best 3rd (E/H/I/J/K) (Atlanta)
R32_M81,01/07/2026,02:00,KO,N,,,,,,,,,,,,Winner Group D vs Best 3rd (B/E/F/I/J) (San Francisco)
R32_M82,01/07/2026,20:00,KO,N,,,,,,,,,,,,Winner Group G vs Best 3rd (A/E/H/I/J) (Seattle)
R32_M83,02/07/2026,01:00,KO,N,,,,,,,,,,,,Runner-up Group K vs Runner-up Group L (Toronto)
R32_M84,02/07/2026,20:00,KO,N,,,,,,,,,,,,Winner Group H vs Runner-up Group J (Los Angeles)
R32_M85,02/07/2026,23:00,KO,N,,,,,,,,,,,,Winner Group B vs Best 3rd (E/F/G/I/J) (Vancouver)
R32_M86,03/07/2026,02:00,KO,N,,,,,,,,,,,,Winner Group J vs Runner-up Group H (Miami)
R32_M87,03/07/2026,05:00,KO,N,,,,,,,,,,,,Winner Group K vs Best 3rd (D/E/I/J/L) (Kansas City)
R32_M88,03/07/2026,20:00,KO,N,,,,,,,,,,,,Runner-up Group D vs Runner-up Group G (Dallas)
R16_1,04/07/2026,20:00,KO,N,,,,,,,,,,,,Winner R32_M73 vs Winner R32_M74 (Kansas City)
R16_2,04/07/2026,23:00,KO,N,,,,,,,,,,,,Winner R32_M75 vs Winner R32_M76 (Seattle)
R16_3,05/07/2026,02:00,KO,N,,,,,,,,,,,,Winner R32_M77 vs Winner R32_M78 (Dallas)
R16_4,05/07/2026,20:00,KO,N,,,,,,,,,,,,Winner R32_M79 vs Winner R32_M80 (New York/NJ)
R16_5,05/07/2026,23:00,KO,N,,,,,,,,,,,,Winner R32_M81 vs Winner R32_M82 (Los Angeles)
R16_6,06/07/2026,02:00,KO,N,,,,,,,,,,,,Winner R32_M83 vs Winner R32_M84 (Boston)
R16_7,06/07/2026,20:00,KO,N,,,,,,,,,,,,Winner R32_M85 vs Winner R32_M86 (Miami)
R16_8,07/07/2026,02:00,KO,N,,,,,,,,,,,,Winner R32_M87 vs Winner R32_M88 (Atlanta)
QF1,09/07/2026,20:00,KO,N,,,,,,,,,,,,Winner R16_1 vs Winner R16_2 (Dallas)
QF2,09/07/2026,23:00,KO,N,,,,,,,,,,,,Winner R16_3 vs Winner R16_4 (Houston)
QF3,10/07/2026,20:00,KO,N,,,,,,,,,,,,Winner R16_5 vs Winner R16_6 (Los Angeles)
QF4,11/07/2026,02:00,KO,N,,,,,,,,,,,,Winner R16_7 vs Winner R16_8 (Seattle)
SF1,14/07/2026,20:00,KO,N,,,,,,,,,,,,Winner QF1 vs Winner QF2 (Dallas)
SF2,15/07/2026,20:00,KO,N,,,,,,,,,,,,Winner QF3 vs Winner QF4 (Los Angeles)
3P,18/07/2026,20:00,KO,N,,,,,,,,,,,,3rd Place: Loser SF1 vs Loser SF2 (Miami)
F,19/07/2026,20:00,KO,N,,,,,,,,,,,,Winner SF1 vs Winner SF2 (New York/NJ)
